date,merchant,category,amount,type
2025-01-01,Upwork Payment,income,681.93,income
2025-01-01,Amazon,misc,25.76,expense
2025-01-01,Chipotle,eating_out,78.7,expense
2025-01-04,Target,misc,75.41,expense
2025-01-05,Adobe Creative Cloud,subscriptions,20.25,expense
2025-01-06,Costco Wholesale,groceries,72.34,expense
2025-01-10,Landlord Property Mgmt,rent,1620.0,expense
2025-01-10,Costco Wholesale,groceries,64.7,expense
2025-01-11,Home Depot,misc,49.42,expense
2025-01-12,Starbucks,eating_out,78.77,expense
2025-01-13,Amazon,misc,69.78,expense
2025-01-14,City Transit Authority,transport,68.68,expense
2025-01-14,Trader Joe's,groceries,60.25,expense
2025-01-15,Whole Foods Market,groceries,74.66,expense
2025-01-18,City Power & Water,utilities,93.21,expense
2025-01-20,Costco Wholesale,groceries,62.18,expense
2025-01-20,Adobe Creative Cloud,subscriptions,20.25,expense
2025-01-21,Lyft,transport,65.54,expense
2025-01-21,DoorDash,eating_out,88.62,expense
2025-01-22,Costco Wholesale,groceries,75.38,expense
2025-01-23,Gym Membership,subscriptions,20.25,expense
2025-01-23,Comcast Internet,utilities,104.56,expense
2025-01-24,Costco Wholesale,groceries,75.34,expense
2025-01-24,Upwork Payment,income,2442.06,income
2025-01-25,Lyft,transport,69.59,expense
2025-01-26,Whole Foods Market,groceries,61.71,expense
2025-01-28,Local Diner,eating_out,56.89,expense
2025-02-02,Trader Joe's,groceries,150.02,expense
2025-02-04,Netflix,subscriptions,20.25,expense
2025-02-05,Lyft,transport,32.11,expense
2025-02-07,Local Diner,eating_out,57.79,expense
2025-02-07,Etsy Shop Sales,income,593.13,income
2025-02-07,Starbucks,eating_out,55.42,expense
2025-02-07,Starbucks,eating_out,69.22,expense
2025-02-08,Costco Wholesale,groceries,171.66,expense
2025-02-10,Starbucks,eating_out,50.46,expense
2025-02-10,DoorDash,eating_out,35.44,expense
2025-02-11,Local Grocery Co-op,groceries,170.31,expense
2025-02-12,Freelance Client Invoice,income,96.6,income
2025-02-13,DoorDash,eating_out,72.88,expense
2025-02-14,Netflix,subscriptions,20.25,expense
2025-02-15,Uber Driver Payout,income,1284.44,income
2025-02-16,Comcast Internet,utilities,111.9,expense
2025-02-16,Lyft,transport,58.78,expense
2025-02-16,Adobe Creative Cloud,subscriptions,20.25,expense
2025-02-17,Riverside Apartments LLC,rent,1620.0,expense
2025-02-17,Target,misc,46.92,expense
2025-02-24,CVS Pharmacy,misc,28.38,expense
2025-02-25,Etsy Shop Sales,income,431.43,income
2025-02-25,Amazon,misc,49.89,expense
2025-02-25,Target,misc,55.69,expense
2025-02-26,Shell Gas Station,transport,50.4,expense
2025-02-26,Amazon,misc,48.98,expense
2025-02-27,City Power & Water,utilities,82.2,expense
2025-02-27,Lyft,transport,60.23,expense
2025-03-02,Costco Wholesale,groceries,73.58,expense
2025-03-02,Chipotle,eating_out,33.44,expense
2025-03-02,Lyft,transport,20.2,expense
2025-03-02,Costco Wholesale,groceries,72.53,expense
2025-03-03,Trader Joe's,groceries,76.84,expense
2025-03-03,Local Diner,eating_out,50.73,expense
2025-03-03,Uber,transport,19.29,expense
2025-03-05,Gym Membership,subscriptions,20.25,expense
2025-03-08,State Gas Co,utilities,91.54,expense
2025-03-08,Whole Foods Market,groceries,70.04,expense
2025-03-08,Uber,transport,30.19,expense
2025-03-09,Local Grocery Co-op,groceries,63.85,expense
2025-03-09,Riverside Apartments LLC,rent,1620.0,expense
2025-03-10,Costco Wholesale,groceries,75.88,expense
2025-03-12,Comcast Internet,utilities,98.23,expense
2025-03-12,Shell Gas Station,transport,39.79,expense
2025-03-15,Chipotle,eating_out,43.73,expense
2025-03-15,DoorDash Payout,income,647.44,income
2025-03-16,CVS Pharmacy,misc,58.68,expense
2025-03-16,Etsy Shop Sales,income,435.19,income
2025-03-17,Local Grocery Co-op,groceries,87.67,expense
2025-03-17,Consulting Client Payment,income,59.96,income
2025-03-18,Target,misc,63.39,expense
2025-03-20,Adobe Creative Cloud,subscriptions,20.25,expense
2025-03-20,Local Diner,eating_out,21.96,expense
2025-03-21,CVS Pharmacy,misc,45.13,expense
2025-03-22,City Transit Authority,transport,16.39,expense
2025-03-22,DoorDash,eating_out,49.41,expense
2025-03-23,Local Diner,eating_out,81.84,expense
2025-03-23,City Transit Authority,transport,18.93,expense
2025-03-23,City Transit Authority,transport,37.36,expense
2025-03-23,Etsy Shop Sales,income,287.93,income
2025-03-25,Spotify,subscriptions,20.25,expense
2025-03-25,Target,misc,54.88,expense
2025-04-01,Local Diner,eating_out,55.8,expense
2025-04-02,Uber,transport,33.7,expense
2025-04-06,State Gas Co,utilities,81.42,expense
2025-04-06,City Transit Authority,transport,28.87,expense
2025-04-07,Uber,transport,38.19,expense
2025-04-07,City Transit Authority,transport,21.21,expense
2025-04-08,Amazon,misc,58.54,expense
2025-04-09,City Transit Authority,transport,23.0,expense
2025-04-09,Chipotle,eating_out,64.44,expense
2025-04-09,Riverside Apartments LLC,rent,1620.0,expense
2025-04-10,Local Diner,eating_out,37.2,expense
2025-04-13,Costco Wholesale,groceries,171.72,expense
2025-04-14,Uber Driver Payout,income,1800.27,income
2025-04-14,Adobe Creative Cloud,subscriptions,20.25,expense
2025-04-14,Consulting Client Payment,income,1038.43,income
2025-04-16,City Transit Authority,transport,23.61,expense
2025-04-20,Shell Gas Station,transport,32.01,expense
2025-04-20,DoorDash,eating_out,41.91,expense
2025-04-21,Local Diner,eating_out,13.16,expense
2025-04-21,Trader Joe's,groceries,178.03,expense
2025-04-22,Home Depot,misc,52.3,expense
2025-04-23,Chipotle,eating_out,40.39,expense
2025-04-23,Home Depot,misc,49.5,expense
2025-04-24,State Gas Co,utilities,104.43,expense
2025-04-28,Whole Foods Market,groceries,177.03,expense
2025-04-28,Starbucks,eating_out,42.03,expense
2025-04-28,Lyft,transport,18.1,expense
2025-04-28,CVS Pharmacy,misc,41.57,expense
2025-04-29,Adobe Creative Cloud,subscriptions,20.25,expense
2025-04-30,Adobe Creative Cloud,subscriptions,20.25,expense
2025-05-04,DoorDash,eating_out,57.59,expense
2025-05-04,City Transit Authority,transport,23.58,expense
2025-05-05,Starbucks,eating_out,64.53,expense
2025-05-07,CVS Pharmacy,misc,66.58,expense
2025-05-07,Shell Gas Station,transport,18.49,expense
2025-05-08,Chipotle,eating_out,52.59,expense
2025-05-08,Spotify,subscriptions,20.25,expense
2025-05-08,Uber,transport,23.26,expense
2025-05-08,Costco Wholesale,groceries,105.99,expense
2025-05-08,Whole Foods Market,groceries,104.69,expense
2025-05-11,Amazon,misc,61.23,expense
2025-05-11,Gym Membership,subscriptions,20.25,expense
2025-05-11,Trader Joe's,groceries,90.04,expense
2025-05-11,Chipotle,eating_out,56.92,expense
2025-05-13,Shell Gas Station,transport,19.63,expense
2025-05-13,Amazon,misc,36.0,expense
2025-05-13,Spotify,subscriptions,20.25,expense
2025-05-16,Costco Wholesale,groceries,93.02,expense
2025-05-17,Etsy Shop Sales,income,3471.69,income
2025-05-19,CVS Pharmacy,misc,22.9,expense
