date,merchant,category,amount,type
2025-01-02,Upwork Payment,income,90.48,income
2025-01-02,Target,misc,34.47,expense
2025-01-02,Chipotle,eating_out,41.64,expense
2025-01-03,City Power & Water,utilities,77.95,expense
2025-01-04,DoorDash Payout,income,780.34,income
2025-01-07,Costco Wholesale,groceries,57.32,expense
2025-01-08,Gym Membership,subscriptions,15.0,expense
2025-01-10,Costco Wholesale,groceries,63.56,expense
2025-01-10,Uber,transport,20.3,expense
2025-01-11,Etsy Shop Sales,income,1299.41,income
2025-01-11,Amazon,misc,40.86,expense
2025-01-13,Netflix,subscriptions,15.0,expense
2025-01-14,Starbucks,eating_out,42.09,expense
2025-01-14,Starbucks,eating_out,21.1,expense
2025-01-15,City Transit Authority,transport,22.54,expense
2025-01-15,Shell Gas Station,transport,24.47,expense
2025-01-17,City Transit Authority,transport,19.06,expense
2025-01-19,Local Grocery Co-op,groceries,57.89,expense
2025-01-19,Starbucks,eating_out,34.41,expense
2025-01-21,Landlord Property Mgmt,rent,1200.0,expense
2025-01-21,Trader Joe's,groceries,57.33,expense
2025-01-22,Etsy Shop Sales,income,507.05,income
2025-01-23,Costco Wholesale,groceries,57.04,expense
2025-01-24,Chipotle,eating_out,34.0,expense
2025-01-25,Adobe Creative Cloud,subscriptions,15.0,expense
2025-01-26,City Power & Water,utilities,78.73,expense
2025-01-27,Starbucks,eating_out,48.85,expense
2025-01-29,Lyft,transport,23.5,expense
2025-01-30,City Transit Authority,transport,26.48,expense
2025-01-30,Amazon,misc,55.47,expense
2025-01-30,Uber,transport,25.07,expense
2025-01-30,Trader Joe's,groceries,54.25,expense
2025-02-01,Whole Foods Market,groceries,60.78,expense
2025-02-01,Home Depot,misc,58.64,expense
2025-02-01,Shell Gas Station,transport,36.55,expense
2025-02-01,Netflix,subscriptions,15.0,expense
2025-02-01,Local Grocery Co-op,groceries,92.77,expense
2025-02-06,Spotify,subscriptions,15.0,expense
2025-02-06,Costco Wholesale,groceries,53.14,expense
2025-02-07,City Power & Water,utilities,83.71,expense
2025-02-07,DoorDash,eating_out,85.22,expense
2025-02-08,Chipotle,eating_out,5.0,expense
2025-02-12,Trader Joe's,groceries,63.06,expense
2025-02-12,Upwork Payment,income,657.24,income
2025-02-12,Uber,transport,32.76,expense
2025-02-16,CVS Pharmacy,misc,21.37,expense
2025-02-17,Target,misc,46.61,expense
2025-02-18,Starbucks,eating_out,99.53,expense
2025-02-20,Whole Foods Market,groceries,48.75,expense
2025-02-23,Amazon,misc,42.67,expense
2025-02-24,Shell Gas Station,transport,42.65,expense
2025-02-26,State Gas Co,utilities,61.47,expense
2025-02-26,Landlord Property Mgmt,rent,1200.0,expense
2025-02-27,Shell Gas Station,transport,45.96,expense
2025-02-27,Trader Joe's,groceries,55.16,expense
2025-02-28,Upwork Payment,income,2066.09,income
2025-03-01,Adobe Creative Cloud,subscriptions,15.0,expense
2025-03-02,Consulting Client Payment,income,1557.4,income
2025-03-02,Uber,transport,21.8,expense
2025-03-03,Etsy Shop Sales,income,2011.61,income
2025-03-05,Target,misc,59.66,expense
2025-03-05,Costco Wholesale,groceries,72.82,expense
2025-03-08,Gym Membership,subscriptions,15.0,expense
2025-03-08,Uber,transport,22.54,expense
2025-03-08,Chipotle,eating_out,5.1,expense
2025-03-09,Upwork Payment,income,184.72,income
2025-03-10,Adobe Creative Cloud,subscriptions,15.0,expense
2025-03-12,Local Grocery Co-op,groceries,85.86,expense
2025-03-14,Trader Joe's,groceries,59.56,expense
2025-03-14,Freelance Client Invoice,income,257.57,income
2025-03-16,Riverside Apartments LLC,rent,1200.0,expense
2025-03-17,City Transit Authority,transport,39.33,expense
2025-03-17,DoorDash,eating_out,29.19,expense
